season,team,name_jp,name_en_last,name_en_first,mlbam_id,position,role
2025,SEA,B・ウー,Woo,Bryan,693433,SP,pitcher
2025,SEA,L・ギルバート,Gilbert,Logan,669302,SP,pitcher
2025,SEA,L・カスティーヨ,Castillo,Luis,112116,SP,pitcher
2025,SEA,G・カービー,Kirby,George,669923,SP,pitcher
2025,SEA,C・バルガス,Vargas,Carlos,672841,RP,pitcher
2025,SEA,G・スペイア,Speier,Gabe,642100,RP,pitcher
2025,SEA,E・バザルド,Bazardo,Eduard,660825,RP,pitcher
2025,SEA,A・ムニョス,Muñoz,Andrés,662203,RP,pitcher
2025,SEA,C・レイリー,Raleigh,Cal,663728,C,batter
2025,SEA,J・ネイラー,Naylor,Josh,647304,1B,batter
2025,SEA,R・アロザレーナ,Arozarena,Randy,668227,OF,batter
2025,SEA,B・ドノバン,Donovan,Brendan,680977,2B,batter
2025,SEA,J・P・クロフォード,Crawford,J.P.,608385,SS,batter
2025,SEA,J・ロドリゲス,Rodriguez,Julio,677594,OF,batter
2025,LAD,山本由伸,Yamamoto,Yoshinobu,808967,SP,pitcher
2025,LAD,B・カスパリウス,Casparius,Ben,676508,SP,pitcher
